
INFO:root:episode:27  step:3 Cost:54.323417888426384 min Cost:55.86070862398326 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:27  step:4 Cost:43.668459674889704 min Cost:44.6372979826414 Reward:0 global reward:200 Action:[3, 2]
INFO:root:episode:27  step:5 Cost:43.668459674889704 min Cost:44.57237792381567 Reward:0 global reward:200 Action:[3, 1]
INFO:root:episode:27  step:6 Cost:47.82440462396684 min Cost:44.29851531843737 Reward:-35.25889305529475 global reward:200 Action:[2, 4]
INFO:root:episode:28  step:1 Cost:28.55798361672024 min Cost:23.485760722313383 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:28  step:2 Cost:28.325065347416185 min Cost:43.987983118935105 Reward:0 global reward:200 Action:[3, 1]
INFO:root:episode:28  step:3 Cost:40.825065347416185 min Cost:55.86070862398326 Reward:0 global reward:200 Action:[2, 2]
INFO:root:episode:28  step:4 Cost:50.107319174655764 min Cost:44.6372979826414 Reward:0 global reward:200 Action:[0, 0]
INFO:root:episode:28  step:5 Cost:41.77398584132243 min Cost:44.57237792381567 Reward:0 global reward:200 Action:[2, 5]
INFO:root:episode:28  step:6 Cost:37.607319174655764 min Cost:44.29851531843737 Reward:300 global reward:300 Action:[2, 4]
INFO:root:episode:29  step:1 Cost:28.55798361672024 min Cost:23.485760722313383 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:29  step:2 Cost:43.576836569360395 min Cost:43.987983118935105 Reward:0 global reward:300 Action:[0, 0]
INFO:root:episode:29  step:3 Cost:54.261926752812215 min Cost:55.86070862398326 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:29  step:4 Cost:43.640607944231334 min Cost:44.6372979826414 Reward:0 global reward:300 Action:[3, 2]
INFO:root:episode:29  step:5 Cost:43.640607944231334 min Cost:44.57237792381567 Reward:0 global reward:300 Action:[3, 1]
INFO:root:episode:29  step:6 Cost:47.92521236449082 min Cost:37.607319174655764 Reward:-103.17893189835054 global reward:300 Action:[2, 4]
